dtpricon;fetar;pop;obito1ano
2000;<60; 654; 55
2000;>=60; 801;113
2001;<60; 775; 51
2001;>=60; 871;114
2002;<60;1001; 87
2002;>=60;1218;201
2003;<60;1113;104
2003;>=60;1335;199
2004;<60;1304; 98
2004;>=60;1494;242
2005;<60;1470; 92
2005;>=60;1945;299
2006;<60;1563;106
2006;>=60;2000;265
2007;<60;1750;105
2007;>=60;2138;262
2008;<60;1932;116
2008;>=60;2468;308
2009;<60;2217;123
2009;>=60;2669;317
2010;<60;2438;158
2010;>=60;3239;411
2011;<60;2656;159
2011;>=60;3481;432
2012;<60;2539;136
2012;>=60;3483;366
2013;<60;2826;174
2013;>=60;3983;480
2014;<60;2961;149
2014;>=60;4096;477
2015;<60;2839;141
2015;>=60;4084;424
2016;<60;2668;149
2016;>=60;3781;435
2017;<60;2341;128
2017;>=60;3470;327
2018;<60;1082; 47
2018;>=60;1690;180
