dtpricon;pop;obitos;estadio4;obito1ano;letalidade;idosos
2000;1033; 618; 232;207;0,5982575;>=60 anos
2001;1163; 667; 292;244;0,5735168;>=60 anos
2002;1587; 925; 369;364;0,5828607;>=60 anos
2003;1734; 981; 399;382;0,5657439;>=60 anos
2004;1983;1100; 489;467;0,5547151;>=60 anos
2005;2524;1331; 579;556;0,5273376;>=60 anos
2006;2640;1192; 640;504;0,4515152;>=60 anos
2007;2849;1222; 711;520;0,4289224;>=60 anos
2008;3239;1337; 771;588;0,4127817;>=60 anos
2009;3565;1471; 896;648;0,4126227;>=60 anos
2010;4263;1743;1024;779;0,4088670;>=60 anos
2011;4704;1830;1223;878;0,3890306;>=60 anos
2012;4683;1677;1200;777;0,3581038;>=60 anos
2013;5285;1784;1302;958;0,3375591;>=60 anos
2014;5491;1709;1395;977;0,3112366;>=60 anos
2015;5579;1599;1495;967;0,2866105;>=60 anos
2016;5261;1389;1480;935;0,2640182;>=60 anos
2017;4796;1014;1326;753;0,2114262;>=60 anos
2018;2325; 427; 635;398;0,1836559;>=60 anos
