municipio;parceiro_tratado_nr;parceiro_tratado_s;diag_materno_prenatal;diag_materno_parto;diag_materno_pos_parto;n_sifilis_congenita
330010 Angra dos Reis;5;2;10;4;1;15
330020 Araruama;2;4;8;5;0;13
330023 Armação dos Búzios;0;2;2;1;0;3
330025 Arraial do Cabo;0;0;1;0;0;1
330030 Barra do Piraí;5;5;22;10;0;32
330040 Barra Mansa;3;0;4;6;2;12
330045 Belford Roxo;51;7;64;62;15;149
330060 Bom Jesus do Itabapoana;2;0;0;2;0;2
330070 Cabo Frio;1;0;0;1;0;1
330080 Cachoeiras de Macacu;0;2;3;0;0;3
330100 Campos dos Goytacazes;15;0;11;4;0;20
330093 Carapebus;0;0;1;0;0;1
330130 Casimiro de Abreu;1;1;2;0;0;3
330140 Conceição de Macabu;1;0;1;0;0;2
330170 Duque de Caxias;62;30;142;144;7;308
330185 Guapimirim;5;3;11;2;0;14
330187 Iguaba Grande;0;1;1;0;0;1
330190 Itaboraí;5;5;34;19;3;57
330200 Itaguaí;1;2;5;2;0;7
330220 Itaperuna;3;4;8;2;0;10
330225 Itatiaia;0;0;1;0;0;1
330227 Japeri;5;1;8;6;1;16
330240 Macaé;8;6;11;3;3;20
330250 Magé;23;2;13;17;3;38
330260 Mangaratiba;0;0;0;1;0;1
330270 Maricá;7;1;11;2;2;15
330285 Mesquita;18;3;19;21;3;46
330290 Miguel Pereira;0;1;1;0;0;1
330320 Nilópolis;7;5;8;14;1;23
330330 Niterói;16;26;90;29;1;123
330340 Nova Friburgo;1;2;3;2;0;5
330350 Nova Iguaçu;106;8;101;94;53;260
330380 Paraty;1;0;1;1;0;2
330390 Petrópolis;2;1;2;2;0;4
330395 Pinheiral;0;1;0;2;0;2
330400 Piraí;0;0;2;0;0;2
330411 Porto Real;0;0;3;0;0;3
330412 Quatis;0;0;1;0;0;1
330414 Queimados;17;2;19;19;11;51
330415 Quissamã;0;0;1;0;0;1
330420 Resende;0;4;16;2;3;21
330430 Rio Bonito;1;4;3;2;0;5
330452 Rio das Ostras;4;1;9;2;5;17
330455 Rio de Janeiro;423;264;1049;268;42;1417
330460 Santa Maria Madalena;0;1;0;0;0;1
330475 São Francisco de Itabapoana;2;0;1;1;0;2
330490 São Gonçalo;14;15;216;137;4;357
330500 São João da Barra;0;0;0;1;0;1
330510 São João de Meriti;31;16;70;57;7;146
330513 São José de Ubá;0;0;1;0;0;1
330520 São Pedro da Aldeia;4;1;6;3;1;10
330550 Saquarema;5;2;7;3;0;11
330555 Seropédica;2;1;3;1;2;7
330575 Tanguá;1;0;1;1;0;2
330580 Teresópolis;1;1;7;0;0;7
330610 Valença;0;0;1;0;0;1
330620 Vassouras;1;0;1;0;1;2
330630 Volta Redonda;4;1;8;3;0;11
Total;866;438;2024;958;171;3288
 ;;;;;;
